"id","title","subtitle","image","author","averageRating","pageCount","release","addedIn","rating","backlogged"
"32","Chainsaw Man 09","","http://books.google.com/books/content?id=Hu9ZEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","0","0","2022-02-08 00:00:00.000","2022","4.5","0"
"33","Chainsaw Man 10","","http://books.google.com/books/content?id=nphlEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","0","0","2022-04-11 00:00:00.000","2022","4.5","0"
"34","Chainsaw Man 11","","http://books.google.com/books/content?id=1TFyEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","0","0","2022-06-09 00:00:00.000","2022","4.5","0"
"35","Piranesi","Roman","http://books.google.com/books/content?id=EbrbDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Susanna Clarke","0","272","2020-10-05 00:00:00.000","2022","4","0"
"36","A Silent Voice 01","","http://books.google.com/books/content?id=7JR_jgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","Yoshitoki Ooima","0","192","2016-07-01 00:00:00.000","2022","4.5","0"
"37","A Silent Voice 02","","http://books.google.com/books/content?id=h2fgDAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Yoshitoki Oima","0","192","2016-09-01 00:00:00.000","2022","4.5","0"
"39","A Silent Voice 03","","http://books.google.com/books/content?id=qVbnDAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Yoshitoki Oima","0","192","2016-11-03 00:00:00.000","2022","4.5","0"
"40","A Silent Voice 04","","http://books.google.com/books/content?id=ZoyEDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Yoshitoki Oima","0","192","2017-01-12 00:00:00.000","2022","4.5","0"
"41","A Silent Voice 05","","http://books.google.com/books/content?id=j1L8DQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Yoshitoki Oima","0","192","2017-03-02 00:00:00.000","2022","4.5","0"
"42","A Silent Voice 06","","http://books.google.com/books/content?id=KDt3DgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Yoshitoki Oima","0","192","2017-05-04 00:00:00.000","2022","4.5","0"
"43","A Silent Voice 07","","http://books.google.com/books/content?id=TmAnDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Yoshitoki Oima","0","192","2017-06-29 00:00:00.000","2022","4.5","0"
"44","Tokyo Ghoul – Band 1","","http://books.google.com/books/content?id=A75QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","224","2015-03-12 00:00:00.000","2022","4","0"
"45","Tokyo Ghoul – Band 2","","http://books.google.com/books/content?id=Bb5QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","208","2015-03-12 00:00:00.000","2022","4","0"
"46","Tokyo Ghoul – Band 3","","http://books.google.com/books/content?id=B75QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","200","2015-03-12 00:00:00.000","2022","4","0"
"47","Tokyo Ghoul – Band 4","","http://books.google.com/books/content?id=R7tQEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","200","2015-03-12 00:00:00.000","2022","4","0"
"48","Tokyo Ghoul – Band 5","","http://books.google.com/books/content?id=Cb5QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","208","2015-03-12 00:00:00.000","2022","4","0"
"49","Tokyo Ghoul – Band 6","","http://books.google.com/books/content?id=C75QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","208","2015-03-16 00:00:00.000","2022","4","0"
"50","Tokyo Ghoul – Band 7","","http://books.google.com/books/content?id=Db5QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","208","2015-05-07 00:00:00.000","2022","4.5","0"
"51","Tokyo Ghoul – Band 8","","http://books.google.com/books/content?id=D75QEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","224","2015-07-02 00:00:00.000","2022","4","0"
"52","Tokyo Ghoul – Band 9","","http://books.google.com/books/content?id=TbtQEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Sui Ishida","0","208","2015-09-03 00:00:00.000","2022","4","0"
