"id","title","image","genres","addedIn","release","averageRating","rating","backlogged"
"150","Escape Room 2: No Way Out","https://image.tmdb.org/t/p/original//7n4G6SxvdWoFlePn5WcHomH6tCP.jpg","Horror,Thriller,Mystery,","2021","2021-07-16 00:00:00.000","6.7","2","0"
"151","Katakomben","https://image.tmdb.org/t/p/original//z2RKDmw078khx29BQXHjvSrmSiA.jpg","Horror,Thriller,","2021","2014-08-29 00:00:00.000","6.6","2.5","0"
"152","Godzilla vs. Kong","https://image.tmdb.org/t/p/original//vNKXuyL30bwFIafvg2ouKK0KDk9.jpg","Action,Fantasy,Science Fiction,","2021","2021-03-31 00:00:00.000","7.7","2.5","0"
"153","The Witcher: Nightmare of the Wolf","https://image.tmdb.org/t/p/original//3sLz2yv6vBDWqBbd8rdnNeoJ2kJ.jpg","Animation,Action,Fantasy,","2021","2021-08-23 00:00:00.000","7.6","4.5","0"
"154","Shang-Chi and the Legend of the Ten Rings","https://image.tmdb.org/t/p/original//AjXzHBNlmCXZnvpONbUhGtgiUiA.jpg","Action,Abenteuer,Fantasy,","2021","2021-09-03 00:00:00.000","7.6","5","0"
"155","Sweet Girl","https://image.tmdb.org/t/p/original//cP7odDzzFBD9ycxj2laTeFWGLjD.jpg","Action,Thriller,Drama,","2021","2021-08-18 00:00:00.000","6.7","2.5","0"
"157","Oxygen","https://image.tmdb.org/t/p/original//4ieLwzPsmYmmSfy34eIIOfWu6zo.jpg","Science Fiction,Thriller,Horror,","2021","2021-05-12 00:00:00.000","6.6","2","0"
"158","Candyman","https://image.tmdb.org/t/p/original//mx9dUkAKzIXaeNY5jtjHZcIeWh0.jpg","Horror,Mystery,Thriller,","2021","2021-08-27 00:00:00.000","6.1","2.5","0"
"159","Malevolent","https://image.tmdb.org/t/p/original//lm29Sf2uI69CmbCsUkWFn7sbvL6.jpg","Horror,","2021","2018-10-05 00:00:00.000","5","2","0"
"160","Army of the Dead","https://image.tmdb.org/t/p/original//z8CExJekGrEThbpMXAmCFvvgoJR.jpg","Action,Krimi,Horror,","2021","2021-05-14 00:00:00.000","6.3","2.5","0"
"161","Don't Breathe 2","https://image.tmdb.org/t/p/original//jxdXp1ZAE47AiaktKRJtoG0xYpq.jpg","Thriller,Horror,","2021","2021-08-13 00:00:00.000","7.2","3","0"
"162","Blood Red Sky","https://image.tmdb.org/t/p/original//d7nATEk0a6b3n2lqpT2DVgPQ0pc.jpg","Horror,Thriller,Action,","2021","2021-07-23 00:00:00.000","7","3","0"
"163","Demon Slayer: Kimetsu no Yaiba - Mugen Train","https://image.tmdb.org/t/p/original//wms1bzZA6RYAumrq8tysdcRQ0GP.jpg","Animation,Action,Abenteuer,","2021","2021-02-26 00:00:00.000","8.3","5","0"
"164","Dune","https://image.tmdb.org/t/p/original//34Hr4bEzF30jd6sEvI4HihEUEI8.jpg","Science Fiction,Abenteuer,","2021","2021-10-22 00:00:00.000","7.8","3.5","0"
"165","Free Guy","https://image.tmdb.org/t/p/original//7PY0SkhIGgPS4XVyDJqaiDb4T93.jpg","Komödie,Abenteuer,Science Fiction,","2021","2021-08-13 00:00:00.000","7.6","3","0"
"166","Hitman: Agent 47","https://image.tmdb.org/t/p/original//cTW5P48kJEN5SilU9KeOlebIbui.jpg","Action,Krimi,Thriller,","2021","2015-08-21 00:00:00.000","5.8","1","0"
"167","Guardians of the Galaxy","https://image.tmdb.org/t/p/original//2YVXuOMoIuic3xfxyFD5ThGXegb.jpg","Action,Science Fiction,Abenteuer,","2021","2014-08-01 00:00:00.000","7.9","5","0"
"168","Guardians of the Galaxy Vol. 2","https://image.tmdb.org/t/p/original//txB1e1QSR2sedZsCjGBMgiT8hPm.jpg","Abenteuer,Action,Science Fiction,","2021","2017-05-05 00:00:00.000","7.6","5","0"
"169","The Guardians of the Galaxy Holiday Special","https://image.tmdb.org/t/p/original//8dqXyslZ2hv49Oiob9UjlGSHSTR.jpg","Komödie,Science Fiction,Abenteuer,","2022","2022-11-25 00:00:00.000","7.4","4.5","0"
"170","Venom: Let There Be Carnage","https://image.tmdb.org/t/p/original//ztoy8TiHu9qa22bW1DkhdNIzeF9.jpg","Science Fiction,Action,Abenteuer,","2021","2021-10-01 00:00:00.000","6.9","3","0"
"171","Eternals","https://image.tmdb.org/t/p/original//lFByFSLV5WDJEv3KabbdAF959F2.jpg","Science Fiction,Action,Abenteuer,","2021","2021-11-05 00:00:00.000","7","3.5","0"
"172","Mein Nachbar Totoro","https://image.tmdb.org/t/p/original//bPBYikmzC8vP1Njdm6iUQv8eTKD.jpg","Fantasy,Animation,Familie,","2021","1993-05-07 00:00:00.000","8.1","4","0"
"173","Das wandelnde Schloss","https://image.tmdb.org/t/p/original//tXB5bdKfLI3XGrmJqaEh0kTKmH6.jpg","Fantasy,Animation,Abenteuer,","2021","2005-06-10 00:00:00.000","8.4","5","0"
"174","Prinzessin Mononoke","https://image.tmdb.org/t/p/original//vFRKcH8zDqEx4nUnm0cs5lh5wwj.jpg","Abenteuer,Fantasy,Animation,","2021","1999-10-29 00:00:00.000","8.3","5","0"
"175","Spider-Man: No Way Home","https://image.tmdb.org/t/p/original//iNKf4D0AzOj9GLq8ZyG3WZaqibL.jpg","Action,Abenteuer,Science Fiction,","2021","2021-12-17 00:00:00.000","8","5","0"
"176","The First Avenger: Civil War","https://image.tmdb.org/t/p/original//3wx55r7qFwo4SAdNJ9DLRQzQsAq.jpg","Abenteuer,Action,Science Fiction,","2021","2016-05-06 00:00:00.000","7.4","4.5","0"
"177","Doctor Strange","https://image.tmdb.org/t/p/original//mzPnP190YLV4KFL3ZgsP7AsPEd2.jpg","Action,Abenteuer,Fantasy,","2021","2016-11-04 00:00:00.000","7.4","5","0"
"178","Matrix Resurrections","https://image.tmdb.org/t/p/original//hF7jgEhP4ypR2oS5BQD1pxbg7QY.jpg","Science Fiction,Action,Abenteuer,","2021","2021-12-22 00:00:00.000","6.6","2.5","0"
"182","Ant-Man and the Wasp: Quantumania","https://image.tmdb.org/t/p/original//laGvWN0doM6k04MmSLJ3sXaan8N.jpg","Abenteuer,Science Fiction,Komödie,","2023","2023-02-06 00:00:00.000","6.5","3.5","0"
"183","Shazam! Fury of the Gods","https://image.tmdb.org/t/p/original//zpCCTtuQMHiHycpsrWnW2eCrBql.jpg","Action,Komödie,Fantasy,","2023","2023-03-14 00:00:00.000","7.6","3","0"
"184","Smile - Siehst du es auch?","https://image.tmdb.org/t/p/original//gP8a3F36DTE2ytkxIo9gzSQvId1.jpg","Horror,Mystery,Thriller,","2023","2022-09-22 00:00:00.000","6.8","2.5","0"
"185","John Wick: Kapitel 4","https://image.tmdb.org/t/p/original//gB4PchB1nxGmfUgQ6eNCP2j3e9d.jpg","Action,Thriller,Krimi,","2023","2023-03-13 00:00:00.000","8","5","0"
"186","Beast - Jäger ohne Gnade","https://image.tmdb.org/t/p/original//iBjRkKQUQKw8VzSlZzNbjdLOsCZ.jpg","Thriller,Action,Horror,","2023","2022-08-19 00:00:00.000","6.8","2","0"
"187","M3GAN","https://image.tmdb.org/t/p/original//lYNjTvQAnSYnIx8MC6e60f1I9L1.jpg","Science Fiction,Horror,Komödie,","2023","2022-12-07 00:00:00.000","7.4","3","0"
"188","10 Cloverfield Lane","https://image.tmdb.org/t/p/original//fOkilGtbsiM2G1Oxqk21Ql7RSWC.jpg","Thriller,Science Fiction,Drama,","2023","2016-03-08 00:00:00.000","7","5","0"
"189","Colonia Dignidad - Es gibt kein zurück","https://image.tmdb.org/t/p/original//D9Zu8QS1SnELUKNupwkyA55Fd3.jpg","Thriller,Drama,Liebesfilm,","2023","2016-04-15 00:00:00.000","7.3","4.5","0"
"190","The Impossible","https://image.tmdb.org/t/p/original//6E9oBTa1AyOSga7KZAKKNXUacLw.jpg","Abenteuer,Drama,Thriller,","2023","2012-12-04 00:00:00.000","7.4","2.5","0"
"191","Suzume","https://image.tmdb.org/t/p/original//qN1gTF5DhdUWyXBlkRxdRsEkhqh.jpg","Animation,Drama,Abenteuer,","2023","2023-03-05 00:00:00.000","8.2","5","0"
"192","Guardians of the Galaxy: Volume 3","https://image.tmdb.org/t/p/original//72Rz9HSQWnPqwpa3qJzgiZ6WHh.jpg","Science Fiction,Abenteuer,Action,","2023","2023-04-27 00:00:00.000","8.4","4.5","0"
"193","Your Name. Gestern, heute und für immer","https://image.tmdb.org/t/p/original//42FMmVrhsWUa1k1zLxcDzNHWxGp.jpg","Liebesfilm,Animation,Drama,","2023","2016-07-03 00:00:00.000","8.5","5","0"
