"id","title","addedIn","image","release","genres","platforms","averageRating","trophy","rating","backlogged"
"90","The Pedestrian","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co1wln.jpg","2020-01-29 01:00:00.000","Platform,Puzzle,Adventure,Indie,","PC,Mac,PS4,XONE,Switch,PS5,Series X,","7.6","2","3","0"
"91","Hades","2021","https://images.igdb.com/igdb/image/upload/t_cover_big/co39vc.jpg","2019-12-10 01:00:00.000","RPG,Hack and slash/Beat 'em up,Adventure,Indie,","PC,Mac,PS4,XONE,Switch,PS5,Series X,","9.3","0","5","0"
"93","Stray","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co4tt2.jpg","2022-07-19 02:00:00.000","Adventure,Indie,","PC,Mac,PS4,PS5,","8.4","0","2.5","0"
"94","Inscryption","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co401c.jpg","2021-10-19 02:00:00.000","Puzzle,Strategy,Adventure,Indie,Card & Board Game,","Linux,PC,Mac,PS4,XONE,Switch,PS5,Series X,","8.6","0","4.5","0"
"97","Ratchet & Clank: Rift Apart","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co2str.jpg","2021-06-11 02:00:00.000","Shooter,Platform,Adventure,","PC,PS5,","9.1","1","4.5","0"
"98","Dark Souls II: Scholar of the First Sin","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co20um.jpg","2015-04-02 02:00:00.000","RPG,Adventure,","PC,PS3,X360,PS4,XONE,","8.5","0","4","0"
"99","Star Wars Jedi: Survivor","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co5uzk.jpg","2023-04-28 02:00:00.000","Adventure,","PC,PS5,Series X,","8.2","1","4","0"
"100","Sea of Stars","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co215b.jpg","2023-08-28 02:00:00.000","RPG,TBS,Adventure,Indie,","PC,PS4,XONE,Switch,PS5,Series X,","8.9","1","4","0"
"101","We Were Here Expeditions: The FriendShip","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co72yn.jpg","2023-09-14 02:00:00.000","Puzzle,Adventure,Indie,","PC,PS4,XONE,PS5,Series X,","0","1","3","0"
"102","Ori and the Blind Forest","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co1y41.jpg","2015-03-11 01:00:00.000","Platform,Puzzle,Adventure,","PC,XONE,Switch,","8.8","0","2.5","0"
"103","Marvel's Midnight Suns","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co3ofr.jpg","2022-12-02 01:00:00.000","RPG,Strategy,Tactical,","PC,PS4,XONE,Switch,PS5,Series X,","8","0","3.5","0"
