"id","title","image","genres","addedIn","release","seasons","averageRating","episode","rating","backlogged"
"82","Better Call Saul","https://image.tmdb.org/t/p/original//fC2HDm5t0kHl7mTm7jxMR31b7by.jpg","Krimi,Drama,","2023","2015-02-08 00:00:00.000","1-6","8.6","0","5","0"
"83","Secret Invasion","https://image.tmdb.org/t/p/original//oijUhcNkGRoxwdjNjzeXrQwFF01.jpg","Drama,Sci-Fi & Fantasy,Action & Adventure,","2023","2023-06-21 00:00:00.000","1","7.2","0","3.5","0"
"84","My Dress-Up Darling","https://image.tmdb.org/t/p/original//A6mxBwvvv63JXZm3xXKv4SugE0L.jpg","Animation,Komödie,Drama,","2023","2022-01-09 00:00:00.000","1","8.6","0","4","0"
"85","Ahsoka","https://image.tmdb.org/t/p/original//laCJxobHoPVaLQTKxc14Y2zV64J.jpg","Sci-Fi & Fantasy,Action & Adventure,","2023","2023-08-22 00:00:00.000","1","7.7","0","4","0"
"86","Tokyo Revengers","https://image.tmdb.org/t/p/original//arB3L9pZZBSzUPSC8BEv8c3X0bF.jpg","Drama,Animation,Action & Adventure,","2023","2021-04-11 00:00:00.000","2","8.5","0","4.5","0"
"87","Generation V","https://image.tmdb.org/t/p/original//ubWuGJTltY89HYev8fuIEhB3GYq.jpg","Action & Adventure,Drama,Sci-Fi & Fantasy,","2023","2023-09-28 00:00:00.000","1","8","0","4","0"
"88","Loki","https://image.tmdb.org/t/p/original//voHUmluYmKyleFkTu3lOXQG702u.jpg","Drama,Sci-Fi & Fantasy,","2023","2021-06-09 00:00:00.000","2","8.2","0","5","0"
"89","Attack on Titan","https://image.tmdb.org/t/p/original//hTP1DtLGFamjfu8WqjnuQdP1n4i.jpg","Animation,Sci-Fi & Fantasy,Action & Adventure,","2023","2013-04-07 00:00:00.000","4","8.7","0","5","0"
"91","Inside Man","https://image.tmdb.org/t/p/original//7tZONSnzKylgzHJvtoOGjRmYlgU.jpg","Drama,Krimi,Mystery,","2023","2022-09-26 00:00:00.000","0","7","0","2.5","1"
"92","Disenchantment","https://image.tmdb.org/t/p/original//j85IGrbDoinOT4ZL50iQcMTaniA.jpg","Animation,Komödie,Action & Adventure,","2023","2018-08-17 00:00:00.000","0","7.5","0","2.5","1"
"93","Matrjoschka","https://image.tmdb.org/t/p/original//1ju4vQ1EwlIkQxEgWiYmxOs3iBG.jpg","Komödie,Drama,","2023","2019-02-01 00:00:00.000","0","7.4","0","2.5","1"
"95","Bright Sun - Dark Shadows","https://image.tmdb.org/t/p/original//4EHwVHScjPAN7pM3lDBDwbRjoOj.jpg","Animation,Drama,Mystery,","2023","2022-04-15 00:00:00.000","0","8.1","0","2.5","1"
"96","Star Wars: The Bad Batch","https://image.tmdb.org/t/p/original//gm7L5QRVe8X8xc8p9902a6LLYrP.jpg","Animation,Action & Adventure,Sci-Fi & Fantasy,","2023","2021-05-04 00:00:00.000","0","8.3","0","2.5","1"
"97","Legion","https://image.tmdb.org/t/p/original//4WLMWQgH3eXNP1aGrAuwlSiIx5j.jpg","Action & Adventure,Sci-Fi & Fantasy,","2023","2017-02-08 00:00:00.000","0","7.6","0","2.5","1"
"99","Mr. Robot","https://image.tmdb.org/t/p/original//oKIBhzZzDX07SoE2bOLhq2EE8rf.jpg","Krimi,Drama,","2023","2015-06-24 00:00:00.000","0","8.2","0","2.5","1"
"100","One Punch Man","https://image.tmdb.org/t/p/original//bS6GeCRInMRl6oQN6czCqPFdcHN.jpg","Action & Adventure,Animation,Komödie,","2023","2015-10-05 00:00:00.000","0","8.4","0","2.5","1"
"101","Fire Force","https://image.tmdb.org/t/p/original//GXPzNvuDGzWikMEduV99kocohn.jpg","Animation,Action & Adventure,Sci-Fi & Fantasy,","2023","2019-07-05 00:00:00.000","0","8.5","0","2.5","1"
"102","Classroom of the Elite","https://image.tmdb.org/t/p/original//8BtSk9DGIlS24otIB3qCagVCI6W.jpg","Drama,Animation,","2023","2017-07-12 00:00:00.000","0","8.5","0","2.5","1"
"103","Fruits Basket","https://image.tmdb.org/t/p/original//ht9b1uQImlHMG5ooaM8hgoAEHY9.jpg","Animation,Drama,Komödie,","2023","2019-04-06 00:00:00.000","0","8.2","0","2.5","1"
"104","Hell's Paradise","https://image.tmdb.org/t/p/original//hYHXIqdi8bmbU7oZqgu9GW8hm8j.jpg","Animation,Drama,Action & Adventure,","2023","2023-04-01 00:00:00.000","0","8","0","2.5","1"
"105","NieR:Automata Ver1.1a","https://image.tmdb.org/t/p/original//qHSCYOXHV3EKXKkMxUvC9rGx4Av.jpg","Animation,Action & Adventure,Sci-Fi & Fantasy,","2023","2023-01-08 00:00:00.000","0","8","0","2.5","1"
"108","What If...?","https://image.tmdb.org/t/p/original//rWg4Jk7NwVEz2BtU1aKKDoDJPeB.jpg","Animation,Action & Adventure,Sci-Fi & Fantasy,","2024","2021-08-11 00:00:00.000","2","8.2","0","2","0"
"109","South Park","https://image.tmdb.org/t/p/original//xJnbMTrJ2fl1AXAKx34U4BPvOhs.jpg","Animation,Komödie,","2024","1997-08-13 00:00:00.000","25","8.4","0","4.5","0"
"111","SPY x FAMILY","https://image.tmdb.org/t/p/original//7NAvPYPAu7MeHwP8E9sn81PqsRh.jpg","Animation,Komödie,Action & Adventure,","2024","2022-04-09 00:00:00.000","2","8.6","0","5","0"
"112","Hazbin Hotel","https://image.tmdb.org/t/p/original//rXojaQcxVUubPLSrFV8PD4xdjrs.jpg","Animation,Komödie,Sci-Fi & Fantasy,","2024","2024-01-18 00:00:00.000","0","9.1","0","2.5","1"
"113","Frieren – Nach dem Ende der Reise","https://image.tmdb.org/t/p/original//dqZENchTd7lp5zht7BdlqM7RBhD.jpg","Animation,Drama,Action & Adventure,","2024","2023-09-29 00:00:00.000","0","8.8","0","2.5","1"
"116","Upload","https://image.tmdb.org/t/p/original//6TPGDrU9MyWbn2TpggJphVAVXiq.jpg","Komödie,Sci-Fi & Fantasy,","2024","2020-04-30 00:00:00.000","3","7.9","0","4","0"
"117","Heimgesucht: Unglaubliche Zeugenberichte","https://image.tmdb.org/t/p/original//kGuqHcERMsnHGlVb9NVsqLJtiqM.jpg","Dokumentarfilm,","2024","2018-10-19 00:00:00.000","0","6.9","0","2.5","0"
"118","Shōgun","https://image.tmdb.org/t/p/original//nwm6Tp1XYEVb7bKWHsUA4DsU9SY.jpg","Drama,War & Politics,","2024","2024-02-27 00:00:00.000","0","8.9","0","2.5","1"
"119","The Bear: King of the Kitchen","https://image.tmdb.org/t/p/original//3MVHF64rlvH1eofKefIoazXwOK0.jpg","Drama,Komödie,","2024","2022-06-23 00:00:00.000","1-2","8.3","0","4.5","0"
"121","Chernobyl","https://image.tmdb.org/t/p/original//hlLXt2tOPT6RRnjiUmoxyG1LTFi.jpg","Drama,","2024","2019-05-06 00:00:00.000","0","8.7","0","3.5","0"
"122","ONE PIECE","https://image.tmdb.org/t/p/original//gyyBB4wBYTvS4gtvi4hToq1KOsp.jpg","Action & Adventure,Sci-Fi & Fantasy,","2024","2023-08-31 00:00:00.000","0","8.2","0","3.5","0"
"126","One Piece","https://image.tmdb.org/t/p/original//rs204jXPjtcW084abpvb3Zx2Nhr.jpg","Action & Adventure,Komödie,Animation,","2024","1999-10-20 00:00:00.000","0","8.7","0","2.5","1"
"127","Solo Leveling","https://image.tmdb.org/t/p/original//geCRueV3ElhRTr0xtJuEWJt6dJ1.jpg","Animation,Action & Adventure,Sci-Fi & Fantasy,","2024","2024-01-07 00:00:00.000","0","8.8","0","2.5","1"
"128","Jujutsu Kaisen","https://image.tmdb.org/t/p/original//fHpKWq9ayzSk8nSwqRuaAUemRKh.jpg","Animation,Action & Adventure,Sci-Fi & Fantasy,","2024","2020-10-03 00:00:00.000","2","8.6","0","4.5","0"
"129","Frieren – Nach dem Ende der Reise","https://image.tmdb.org/t/p/original//k1YVj5fGW1oKjZ19oy0PcphKXlj.jpg","Animation,Drama,Action & Adventure,","2024","2023-09-29 00:00:00.000","0","9","0","4.5","0"
"130","The Boys","https://image.tmdb.org/t/p/original//2zmTngn1tYC1AvfnrFLhxeD82hz.jpg","Sci-Fi & Fantasy,Action & Adventure,","2024","2019-07-25 00:00:00.000","4","8.5","0","4.5","0"
"131","Neon Genesis Evangelion","https://image.tmdb.org/t/p/original//y2ah9t0navXyIvoHg1uIbIHO3tt.jpg","Sci-Fi & Fantasy,Animation,Drama,","2024","1995-10-04 00:00:00.000","0","8.6","0","4","0"
